locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,30.0,"{'utc': '2023-01-01T16:00:00+00:00', 'local': '2023-01-01T23:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,30.0,"{'utc': '2023-01-01T17:00:00+00:00', 'local': '2023-01-02T00:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,31.0,"{'utc': '2023-01-01T18:00:00+00:00', 'local': '2023-01-02T01:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,31.0,"{'utc': '2023-01-01T19:00:00+00:00', 'local': '2023-01-02T02:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,31.0,"{'utc': '2023-01-01T20:00:00+00:00', 'local': '2023-01-02T03:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,31.0,"{'utc': '2023-01-01T21:00:00+00:00', 'local': '2023-01-02T04:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,32.0,"{'utc': '2023-01-01T22:00:00+00:00', 'local': '2023-01-02T05:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,32.0,"{'utc': '2023-01-01T23:00:00+00:00', 'local': '2023-01-02T06:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,33.0,"{'utc': '2023-01-02T00:00:00+00:00', 'local': '2023-01-02T07:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,33.0,"{'utc': '2023-01-02T01:00:00+00:00', 'local': '2023-01-02T08:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,34.0,"{'utc': '2023-01-02T02:00:00+00:00', 'local': '2023-01-02T09:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,35.0,"{'utc': '2023-01-02T03:00:00+00:00', 'local': '2023-01-02T10:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,35.0,"{'utc': '2023-01-02T04:00:00+00:00', 'local': '2023-01-02T11:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,36.0,"{'utc': '2023-01-02T05:00:00+00:00', 'local': '2023-01-02T12:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,36.0,"{'utc': '2023-01-02T06:00:00+00:00', 'local': '2023-01-02T13:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,37.0,"{'utc': '2023-01-02T07:00:00+00:00', 'local': '2023-01-02T14:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,37.0,"{'utc': '2023-01-02T08:00:00+00:00', 'local': '2023-01-02T15:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,37.0,"{'utc': '2023-01-02T09:00:00+00:00', 'local': '2023-01-02T16:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
